"price","processor_speed","battery_capacity","ram_capacity","internal_memory"
16990,2.2,5000,6,128
19990,2.2,4000,8,128
32999,2.5,5000,8,256
42990,3.05,5000,16,256
58990,3.2,4700,12,256
29990,2.4,4300,8,128
38700,2.6,4350,8,128
22990,2.4,4000,6,128
26380,2,4300,8,128
36760,3,4500,12,256
44990,3.2,4500,8,128
32990,3,4500,8,128
42990,2.85,4500,8,256
45999,2.85,4500,12,256
45999,2.85,4500,12,256
26990,2.2,4500,8,256
29990,2.2,5000,8,256
19999,2.2,5000,8,256
28499,2.4,4500,8,256
39999,2.85,4500,16,256
45999,3.2,4700,16,256
22990,2.2,4800,8,128
25994,2,4500,8,256
31994,3,4500,12,256
17999,2.2,4500,8,128
29340,3,4500,8,128
134999,2.84,4000,8,256
29990,2,21000,8,256
7299,2,5000,3,32
32999,3,5065,6,128
29999,3.2,4500,12,256
25999,3.2,4500,6,128
27999,3.2,4500,8,128
39999,3,4700,8,128
34990,3.2,4700,8,128
42999,3,4500,8,128
29999,3.2,5500,8,128
10890,2,5000,6,64
12799,2.3,5000,4,64
11499,2,6000,6,64
15999,2.2,5000,4,64
14799,2.2,5000,6,128
11499,2.2,5000,4,64
13499,2.2,5000,6,128
11999,2.05,5000,6,64
12999,2.05,5000,6,128
13999,2.05,5000,8,128
12999,2.4,5000,4,64
14999,2.4,5000,6,128
15999,2.4,5000,8,128
10799,2.2,5000,4,64
14499,2.2,5000,6,128
19990,2.5,5100,8,128
13499,2.3,6000,6,64
19650,2.96,5160,6,128
14990,2.2,5000,6,128
24990,2.85,5080,8,128
28990,2.85,5080,8,256
14999,2.2,5000,6,64
16499,2.2,5000,6,128
17999,2.2,5000,8,128
14999,2.2,5000,4,128
29990,3.2,5000,8,128
20999,2.4,5000,6,128
13999,2.2,5000,4,64
16999,2.2,5000,8,128
14499,2.2,5000,8,128
18999,2.2,5000,6,128
19999,2.2,5000,8,128
24999,2.6,5000,6,128
27999,2.6,5000,8,256
12999,2.4,5000,8,128
28999,3,5000,6,128
24999,2.2,4200,6,128
12989,2.05,4300,6,64
14490,2.3,4300,6,64
21999,2.3,4500,8,128
15999,2,5000,4,128
17999,2,5000,8,128
16499,2.2,5000,4,128
18499,2.2,5000,8,128
12499,2.05,5000,4,64
13999,2.05,5000,6,128
17999,2.4,5000,6,128
17499,2.4,5000,8,128
14999,2.4,5000,6,128
15999,2.4,5000,8,128
13999,2.4,5000,4,64
15499,2.4,5000,6,128
18999,2.4,5000,6,128
22998,2.4,5000,8,128
18999,2.2,5000,6,128
20999,2.2,5000,8,128
25900,2.5,4500,6,128
22994,2.5,4500,8,128
24494,2.5,4500,8,256
12499,2.4,5000,4,64
13999,2.4,5000,4,128
