"price","processor_speed","battery_capacity","ram_capacity","internal_memory","cluster_0","cluster_1","cluster_2","Winner Cluster","Silhouette Coefficient"
0.21919995949375634,0.65625,0.08320531245354082,0.125,0.06666666666666667,0.3254314173873811,0.41102522486667886,0.26354335774594,"cluster_1",0.06881444281463638
0.07152094615834144,0.65625,0,0.0625,0.06666666666666667,0.3622851579929148,0.39838855175411525,0.2393262902529701,"cluster_1",-0.018336810879203237
0.07172980647720152,0.8125,0.20709648644630557,0.375,0.2,0.05285617321041047,0.12461170418630506,0.8225321226032846,"cluster_2",0.7190324879359794
0.1392402125733912,1,0.20709648644630557,0.625,0.4666666666666667,0.08886411169685018,0.15802507212766606,0.7531108161754838,"cluster_2",0.6538450321595174
0.14134991276389713,1,0.20709648644630557,0.875,0.4666666666666667,0.1472247700378852,0.24099551964019983,0.6117797103219149,"cluster_2",0.47270006219826893
0.1772148160024979,1,0.20709648644630557,1,1,0.21693217938218398,0.3039099763714881,0.47915784424632796,"cluster_2",0.2408504432878633
0.14766002603370038,1,0.20709648644630557,1,0.4666666666666667,0.17195537724492455,0.2683991680309519,0.5596454547241235,"cluster_2",0.3841951751456057
0.12234362374762923,1,0.12285048813122554,0.375,0.2,0.03984450040459796,0.07143637039567954,0.8887191291997224,"cluster_2",0.7417503100465869
0.0063101132698032275,0.4375,0.16646018137667873,0.125,0.06666666666666667,0.6986119340320628,0.25404180924935443,0.04734625671858276,"cluster_0",0.656678885007343
0.01898730171455335,0.375,0.15754001684919966,0.125,0.06666666666666667,0.8422502382455401,0.1341241778623387,0.023625583892121185,"cluster_0",0.7034009286250698
0.01898730171455335,0.28125,0.20709648644630557,0.375,0.2,0.4471274872257727,0.5002677396616271,0.052604773112600166,"cluster_1",-0.03796117251771289
0.08438800762023708,0.625,1,0.625,0.4666666666666667,0.28439773789454476,0.35198513725950736,0.3636171248459478,"cluster_2",0.0004984003931288332
0.02109700190505927,0.25,0.09311660637296199,0.125,0.06666666666666667,0.8570699817183955,0.1186317811391684,0.024298237142436157,"cluster_0",0.6996591522208048
0.06329311541536832,0.5,0.11194806481986225,0.375,0.2,0.06785561051359766,0.8978767307264759,0.034267658759926566,"cluster_1",0.704427671309627
0.056961905143660035,0.5,0.13870855840229943,0.25,0.2,0.13244373116050662,0.8344667198466316,0.033089548992861824,"cluster_1",0.698376473468986
0.07274457226883488,0.75,0.13841121958471678,0.375,0.2,0.08393897713828338,0.2370942023329903,0.6789668205287263,"cluster_2",0.599407865453626
0.1019006289016268,0.75,0.15768868625799098,0.625,0.2,0.11245580770449254,0.25787569144645633,0.6296685008490511,"cluster_2",0.512602136121833
0.09936898867301967,0.78125,0.12557609395906635,0.375,0.2,0.06397370166602094,0.16327649368748362,0.7727498046464956,"cluster_2",0.6946792627908706
0.05694291784194548,0.5,0.12285048813122554,0.25,0.2,0.13898264749484376,0.8256794920414449,0.03533786046371141,"cluster_1",0.6945815351573713
0.04006531631789806,0.25,0.12285048813122554,0.375,0.2,0.48338551115653294,0.4612549868101167,0.055359502033350404,"cluster_0",0.182818320268635
0.07171081917548697,0.5625,0.1476287229297785,0.625,1,0.2517034089906977,0.3594315290024122,0.38886506200689014,"cluster_2",0.0354810349869826
